{} -0.039782092605 
2.0 -0.222419428838 -0.049619498587
2.2 -0.216759770626 -0.047331825627
2.4 -0.211987944992 -0.044889691020
2.6 -0.208364505486 -0.042466652979
2.8 -0.206009527988 -0.040206589715
3.0 -0.204847678964 -0.038167200724
3.2 -0.204583343279 -0.036346284003
3.4 -0.204764076951 -0.034713170449
3.6 -0.204943327808 -0.033228509293
3.8 -0.204827504339 -0.031853655313
4.0 -0.204297376746 -0.020051002927
4.2 -0.203329351261 -0.020250919416
4.4 -0.201910445017 -0.020462037033
4.6 -0.199994269146 -0.020659065043
4.8 -0.197507963376 -0.020819041875
5.0 -0.194374008041 -0.020922667046
5.2 -0.190539105006 -0.020955370717
5.4 -0.185994661103 -0.020907987733
5.6 -0.180784927709 -0.020776878446
5.8 -0.175003080618 -0.020563738775
6.0 -0.168778563097 -0.020274722063
6.2 -0.162260185590 -0.019919247336
6.4 -0.155599148867 -0.019508768253
6.6 -0.148934955789 -0.019055301852
6.8 -0.142385713197 -0.018570424383
7.0 -0.136043043126 -0.018064503065
7.2 -0.129970955473 -0.017546366123
7.4 -0.124207627379 -0.017023246004
7.6 -0.118768997901 -0.016500933280
7.8 -0.113653266768 -0.015983975893
8.0 -0.108845636888 -0.015475883522
8.2 -0.104324686437 -0.014979374343
8.4 -0.100058982263 -0.014496483869
8.6 -0.096021931678 -0.014028716417
8.8 -0.092186835705 -0.013577150844
9.0 -0.088530688196 -0.013142503133
9.2 -0.085035263549 -0.012725194663
9.4 -0.081687454378 -0.012325400106
9.6 -0.078478973658 -0.011943093456
9.8 -0.075405582485 -0.011578062119
10.0 -0.072466030757 -0.011229981704
10.2 -0.069660898570 -0.010898401283
10.4 -0.066991501459 -0.010582787189
10.6 -0.064464881630 -0.010282719686
10.8 -0.062069085050 -0.009997195141
11.0 -0.059809614664 -0.009725721388
11.2 -0.057684148866 -0.009467605467
11.4 -0.055689006701 -0.009222148279
11.6 -0.053819311141 -0.008988654284
11.8 -0.052069223790 -0.008766439997
12.0 -0.050432203973 -0.008554838982
12.2 -0.048901258906 -0.008353212052
12.4 -0.047469164973 -0.008160941048
12.6 -0.046128651099 -0.007977447726
12.8 -0.044872542997 -0.007802182897
13.0 -0.043693871829 -0.007634627267
13.2 -0.042585953163 -0.007474306179
13.4 -0.041542442636 -0.007320773046
13.6 -0.040557374253 -0.007173617137
13.8 -0.039625186083 -0.007032460598
14.0 -0.038740736864 -0.006896956817
14.2 -0.037899315738 -0.006766788589
14.4 -0.037096646314 -0.006641665901
14.6 -0.036328885540 -0.006521323772
14.8 -0.035592617398 -0.006405519959
15.0 -0.034884841311 -0.006294032655
15.2 -0.034202955239 -0.006186658261
15.4 -0.033544733656 -0.006083209281
15.6 -0.032908300911 -0.005983512302
15.8 -0.032292100777 -0.005887406260
16.0 -0.031694863241 -0.005794740714
16.2 -0.031115569704 -0.005705374481
16.4 -0.030553417850 -0.005619174357
16.6 -0.030007787311 -0.005536014067
16.8 -0.029478207169 -0.005455773367
17.0 -0.028964326059 -0.005378337330
17.2 -0.028465885443 -0.005303595753
17.4 -0.028002498736 -0.005231646160
17.6 -0.027534998179 -0.005161977115
17.8 -0.027082494253 -0.005094696182
18.0 -0.026644902816 -0.005029707951
18.2 -0.026222149894 -0.004966920980
18.4 -0.025814163575 -0.004906247484
18.6 -0.025420867796 -0.004847601880
18.8 -0.025042177582 -0.004790902082
19.0 -0.024677995358 -0.004736069103
19.2 -0.024328207975 -0.004683027041
19.4 -0.023992684205 -0.004631702996
19.6 -0.023671272505 -0.004582027170
19.8 -0.023363798928 -0.004533932767
20.0 -0.023070065147 -0.004487355935
20.2 -0.022789846598 -0.004442235817
20.4 -0.022522890805 -0.004398514438
20.6 -0.022268916004 -0.004356136670
20.8 -0.022027610177 -0.004315050165
21.0 -0.021798630641 -0.004275205284
21.2 -0.021581604308 -0.004236555014
21.4 -0.021376128710 -0.004199054883
21.6 -0.021181773859 -0.004162662862
21.8 -0.020998084940 -0.004127339270
22.0 -0.020824585809 -0.004093046664
22.2 -0.020660783196 -0.004059749736
22.4 -0.020506171487 -0.004027415198
22.6 -0.020360237901 -0.003996011679
22.8 -0.020222467889 -0.003965509603
23.0 -0.020092350536 -0.003935881087
23.2 -0.019969383789 -0.003907099820
23.4 -0.019853079338 -0.003879140966
23.6 -0.019742966998 -0.003851981048
23.8 -0.019638598490 -0.003825597841
24.0 -0.019539550565 -0.003799970316
24.2 -0.019445427404 -0.003775078470
24.4 -0.019355862329 -0.003750903292
24.6 -0.019270518830 -0.003727426291
24.8 -0.019189090964 -0.003704630906
25.0 -0.019111303190 -0.003682500180
25.2 -0.019036909714 -0.003661018200
25.4 -0.018965693420 -0.003640169657
25.6 -0.018897464471 -0.003619939779
25.8 -0.018832058646 -0.003600314283
26.0 -0.018769335495 -0.003581279325
26.2 -0.018709176357 -0.003562821456
26.4 -0.018651482317 -0.003544927581
26.6 -0.018596172132 -0.003527584928
26.8 -0.018543180169 -0.003510781015
27.0 -0.018492454395 -0.003494503625
27.2 -0.018443954430 -0.003478740781
27.4 -0.018397649697 -0.003463480731
27.6 -0.018353517667 -0.003448711925
27.8 -0.018311542224 -0.003434423008
28.0 -0.018271712147 -0.003420602801
28.2 -0.018234019713 -0.003407240299
28.4 -0.018198459425 -0.003394324658
28.6 -0.018165026864 -0.003381845192
28.8 -0.018133717656 -0.003369791367
29.0 -0.018104526557 -0.003358152797
29.2 -0.018077446657 -0.003346919241
29.4 -0.018052468681 -0.003336080608
29.6 -0.018029580402 -0.003325626932
29.8 -0.018008766145 -0.003315548393
30.0 -0.017990006383 -0.003305835323
30.2 -0.017973277427 -0.003296478190
30.4 -0.017958551189 -0.003287467597
30.6 -0.017945795020 -0.003278794291
30.8 -0.017934971626 -0.003270449151
31.0 -0.017926039042 -0.003262423210
31.2 -0.017918950663 -0.003254707616
31.4 -0.017913655341 -0.003247293667
31.6 -0.017910097514 -0.003240172813
31.8 -0.017908217391 -0.003233336630
32.0 -0.017907951170 -0.003226776839
32.2 -0.017909231287 -0.003220485297
32.4 -0.017911986701 -0.003214453998
32.6 -0.017916143190 -0.003208675078
32.8 -0.017921623677 -0.003203140805
33.0 -0.017928348564 -0.003197843599
33.2 -0.017936236071 -0.003192776010
33.4 -0.017945202593 -0.003187930722
33.6 -0.017955163045 -0.003183300553
33.8 -0.017966031211 -0.003178878472
34.0 -0.017977720090 -0.003174657583
34.2 -0.017990142225 -0.003170631114
34.4 -0.018003210032 -0.003166792439
34.6 -0.018016836102 -0.003163135064
34.8 -0.018030933503 -0.003159652634
35.0 -0.018045416048 -0.003156338929
35.2 -0.018060198559 -0.003153187862
35.4 -0.018075197099 -0.003150193483
35.6 -0.018090329196 -0.003147349976
35.8 -0.018105514033 -0.003144651657
36.0 -0.018120672625 -0.003142092978
36.2 -0.018135727975 -0.003139668521
36.4 -0.018150605202 -0.003137373003
36.6 -0.018165231657 -0.003135201270
36.8 -0.018179537012 -0.003133148301
37.0 -0.018193453334 -0.003131208845
37.2 -0.018206915138 -0.003129378858
37.4 -0.018219859424 -0.003127653344
37.6 -0.018232225694 -0.003126027796
37.8 -0.018243955960 -0.003124497834
38.0 -0.018254994731 -0.003123059200
38.2 -0.018265288990 -0.003121707762
38.4 -0.018274788159 -0.003120439511
38.6 -0.018283444049 -0.003119250558
38.8 -0.018291210809 -0.003118137134
39.0 -0.018298044853 -0.003117095589
39.2 -0.018303904796 -0.003116122387
