{} -0.039782092605 
2.0 -0.222419428838 -0.004927332714
2.2 -0.216759770626 -0.004679055745
2.4 -0.211987944992 -0.004345136127
2.6 -0.208364505486 -0.003984643851
2.8 -0.206009527988 -0.003635353495
3.0 -0.204847678964 -0.003313469851
3.2 -0.204583343279 -0.003023163200
3.4 -0.204764076951 -0.002763340418
3.6 -0.204943327808 -0.002530989899
3.8 -0.204827504339 -0.002322615276
4.0 -0.204297376746 -0.004952703123
4.2 -0.203329351261 -0.004797067724
4.4 -0.201910445017 -0.004636181034
4.6 -0.199994269146 -0.004446644771
4.8 -0.197507963376 -0.004247640982
5.0 -0.194374008041 -0.004044351076
5.2 -0.190539105006 -0.003841319380
5.4 -0.185994661103 -0.003642425984
5.6 -0.180784927709 -0.003450885219
5.8 -0.175003080618 -0.003269244055
6.0 -0.168778563097 -0.003099395241
6.2 -0.162260185590 -0.002942589648
6.4 -0.155599148867 -0.002799476110
6.6 -0.148934955789 -0.002670157265
6.8 -0.142385713197 -0.002554271107
7.0 -0.136043043126 -0.002451095893
7.2 -0.129970955473 -0.002359659939
7.4 -0.124207627379 -0.002278854179
7.6 -0.118768997901 -0.002207524849
7.8 -0.113653266768 -0.002144550977
8.0 -0.108845636888 -0.002088895956
8.2 -0.104324686437 -0.002051534162
8.4 -0.100058982263 -0.002007999115
8.6 -0.096021931678 -0.001969361333
8.8 -0.092186835705 -0.001935090505
9.0 -0.088530688196 -0.001904760051
9.2 -0.085035263549 -0.001878023005
9.4 -0.081687454378 -0.001854601683
9.6 -0.078478973658 -0.001834254307
9.8 -0.075405582485 -0.001816765878
10.0 -0.072466030757 -0.001801930379
10.2 -0.069660898570 -0.001789540954
10.4 -0.066991501459 -0.001779382453
10.6 -0.064464881630 -0.001780317202
10.8 -0.062069085050 -0.001774017412
11.0 -0.059809614664 -0.001769184336
11.2 -0.057684148866 -0.001765549810
11.4 -0.055689006701 -0.001762835303
11.6 -0.053819311141 -0.001760757375
11.8 -0.052069223790 -0.001759031636
